good proteins:
    3ze3.pdb 279 279
    3zoj.pdb 1052 1052
    4a2n.pdb 192 192
    4al0.pdb 438 438
    4atv.pdb 732 732
    4ayt.pdb 1130 1130
    4b4a.pdb 221 221
    4bbj.pdb 663 663
    4bvn.pdb 289 289
    4c7r.pdb 1532 1532
    4cbk.pdb 884 884
    4cz8.pdb 829 829
    4czb.pdb 833 833
    4djk.pdb 451 451
    4dve.pdb 184 184
    4dx5.pdb 3414 3414
    4dxw.pdb 827 827
    4ev6.pdb 1570 1570
    4ezc.pdb 1035 1035
    4f4s.pdb 738 738
    4fc4.pdb 1244 1244
    4gc0.pdb 475 475
    4gx0.pdb 1842 1842
    4h33.pdb 364 364
    4hkr.pdb 973 973
    4hyj.pdb 236 236
    4i0u.pdb 1726 1726
    4ikv.pdb 492 492
    4il3.pdb 422 422
    4j05.pdb 422 422
    4j7c.pdb 2590 2590
    4jq6.pdb 1198 1198
    4k0j.pdb 2869 2869
    4k1c.pdb 374 374
    4kjr.pdb 939 939
    4kpp.pdb 395 395
    4lp8.pdb 1132 1132
    4m5b.pdb 214 214
    4mes.pdb 176 176
    4mnd.pdb 816 816
    4mrs.pdb 1173 1173
    4n6h.pdb 408 408
    4n7w.pdb 307 307
    4nv5.pdb 259 259
    4o6m.pdb 670 670
    4o6y.pdb 420 420
    4od4.pdb 274 274
    4ogq.pdb 1884 1884
    4oh3.pdb 1048 1048
    4p02.pdb 1382 1382
    4p6v.pdb 1769 1769
    4p79.pdb 173 173
    4pd6.pdb 1203 1203
    4pgr.pdb 207 207
    4phz.pdb 2528 2528
    4pl0.pdb 1146 1146
    4pxz.pdb 392 392
    4q2g.pdb 529 529
    4q4h.pdb 1154 1154
    4q65.pdb 437 437
    4qnd.pdb 194 194
    4qtn.pdb 681 681
    4quv.pdb 393 393
    4r0c.pdb 943 943
    4ri2.pdb 339 339
    4rng.pdb 164 164
    4rp9.pdb 902 902
    4ry2.pdb 1399 1399
    4ryo.pdb 151 151
    4tkr.pdb 183 183
    4tll.pdb 2978 2978
    4tph.pdb 454 454
    4tq3.pdb 283 283
    4twk.pdb 495 495
    4u2p.pdb 3019 3019
    4u4v.pdb 442 442
    4u9n.pdb 354 354
    4uc1.pdb 312 312
    4umw.pdb 603 603
    4us3.pdb 441 441
    4v1g.pdb 762 762
    4w6v.pdb 482 482
    4wd8.pdb 1341 1341
    4wis.pdb 1307 1307
    4x5m.pdb 172 172
    4xes.pdb 476 476
    4xnv.pdb 290 290
    4xt3.pdb 356 356
    4xtl.pdb 269 269
    4xu4.pdb 567 567
    4xyd.pdb 589 589
    4y7k.pdb 1211 1211
    4ymk.pdb 322 322
    4ymu.pdb 906 906
    4z36.pdb 290 290
    4z3n.pdb 431 431
    4z7f.pdb 163 163
    4zp0.pdb 392 392
    4zr1.pdb 274 274
    4zwb.pdb 468 468
    5a1s.pdb 861 861
    5aez.pdb 1365 1365
    5aji.pdb 1796 1796
    5aww.pdb 557 557
    5ax0.pdb 234 234
    5ayn.pdb 405 405
    5azb.pdb 284 284
    5b0w.pdb 1554 1554
    5b1a.pdb 3530 3530
    5b2n.pdb 263 263
    5b57.pdb 1167 1167
    5b66.pdb 5197 5197
    5bz3.pdb 768 768
    5c6o.pdb 446 446
    5c78.pdb 1127 1127
    5cbg.pdb 408 408
    5ckr.pdb 658 658
    5ctg.pdb 647 647
    5dir.pdb 157 157
    5djq.pdb 992 992
    5dn6.pdb 4316 4316
    5do7.pdb 1146 1146
    5dqq.pdb 1298 1298
    5dsg.pdb 392 392
    5dwy.pdb 1279 1279
    5edl.pdb 197 197
    5eik.pdb 702 702
    5eke.pdb 1187 1187
    5er7.pdb 1884 1884
    5ezm.pdb 537 537
    5fgn.pdb 536 536
    5g28.pdb 264 264
    5g2c.pdb 268 268
    5g2d.pdb 267 267
    5gjv.pdb 2657 2657
    5h1q.pdb 2873 2873
    5h36.pdb 582 582
    5h3o.pdb 2037 2037
    5hya.pdb 297 297
    5i20.pdb 291 291
    5i32.pdb 952 952
    5i6c.pdb 947 947
    5irx.pdb 1721 1721
    5iwk.pdb 2376 2376
    5iws.pdb 854 854
    5j4i.pdb 873 873
    5jeq.pdb 454 454
    5jnq.pdb 614 614
    5jsi.pdb 427 427
    5jsz.pdb 983 983
    5jwy.pdb 254 254
    5kbw.pdb 170 170
    5khn.pdb 1695 1695
    5ko2.pdb 1185 1185
    5ksd.pdb 833 833
    5kuk.pdb 1304 1304
    5kxi.pdb 1796 1796
    5l1h.pdb 3092 3092
    5l22.pdb 1078 1078
    5lj7.pdb 1190 1190
    5lm4.pdb 389 389
    5m87.pdb 494 494
    5mkk.pdb 1169 1169
    5mlz.pdb 355 355
    5mrw.pdb 1441 1441
    5n6m.pdb 491 491
    5ndd.pdb 295 295
    5nm4.pdb 382 382
    5nv9.pdb 467 467
    5nx2.pdb 394 394
    5o0t.pdb 206 206
    5o9h.pdb 588 588
    5oc0.pdb 164 164
    5oc9.pdb 1222 1222
    5och.pdb 1121 1121
    5oge.pdb 602 602
    5ogl.pdb 711 711
    5oqt.pdb 482 482
    5oyb.pdb 1435 1435
    5sv0.pdb 1109 1109
    5svk.pdb 1071 1071
    5syt.pdb 444 444
    5t4d.pdb 1849 1849
    5tcx.pdb 206 206
    5tgz.pdb 439 439
    5tin.pdb 1696 1696
    5tj6.pdb 3560 3560
    5tsa.pdb 233 233
    5u1d.pdb 1166 1166
    5u70.pdb 3601 3601
    5u74.pdb 900 900
    5ul9.pdb 889 889
    5uni.pdb 708 708
    5v7v.pdb 613 613
    5v8k.pdb 624 624
    5va1.pdb 2237 2237
    5vbl.pdb 311 311
    5vkq.pdb 5993 5993
    5vre.pdb 749 749
    5vrh.pdb 490 490
    5w3s.pdb 1937 1937
    5wtr.pdb 588 588
    5wuc.pdb 582 582
    5x3x.pdb 1007 1007
    5xap.pdb 732 732
    5xj5.pdb 198 198
    5xls.pdb 816 816
    5xpd.pdb 269 269
    5xtc.pdb 4673 4673
    5xw6.pdb 958 958
    5y4o.pdb 1555 1555
    5y78.pdb 609 609
    5y83.pdb 342 342
    5yck.pdb 449 449
    5ys3.pdb 1100 1100
    5z96.pdb 2662 2662
    5zim.pdb 684 684
    5zle.pdb 450 450
    5zx5.pdb 3253 3253
    6a2j.pdb 309 309
    6a2w.pdb 332 332
    6a6m.pdb 1178 1178
    6a95.pdb 1362 1362
    6afw.pdb 1479 1479
    6ak3.pdb 543 543
    6b85.pdb 857 857
    6b87.pdb 199 199
    6bar.pdb 299 299
    6bco.pdb 3805 3805
    6bhp.pdb 508 508
    6bhu.pdb 1208 1208
    6bl6.pdb 1149 1149
    6btm.pdb 2356 2356
    6buh.pdb 491 491
    6c70.pdb 1549 1549
    6c9a.pdb 1445 1445
    6caa.pdb 953 953
    6cb2.pdb 540 540
    6cfw.pdb 2517 2517
    6cju.pdb 1557 1557
    6cnm.pdb 1693 1693
    6co7.pdb 4241 4241
    6coy.pdb 929 929
    6cud.pdb 2813 2813
    6d27.pdb 442 442
    6d79.pdb 408 408
    6d91.pdb 398 398
    6drj.pdb 5053 5053
    6ds5.pdb 1750 1750
    6edq.pdb 539 539
    6ei3.pdb 511 511
    6eu6.pdb 1215 1215
    6eyu.pdb 691 691
    6ezn.pdb 2083 2083
    6f7h.pdb 1009 1009
    6ffv.pdb 194 194
    6fl9.pdb 1546 1546
    6fmx.pdb 201 201
    6fv8.pdb 876 876
    6g94.pdb 3825 3825
    6gs4.pdb 592 592
    6gyh.pdb 675 675
    6gyn.pdb 1977 1977
    6h7d.pdb 487 487
    6hbu.pdb 1167 1167
    6hcy.pdb 1306 1306
    6hiq.pdb 1921 1921
    6hzw.pdb 1551 1551
    6i6h.pdb 212 212
    6igk.pdb 331 331
    6irs.pdb 925 925
    6iu3.pdb 448 448
    6iyc.pdb 1351 1351
    6iyx.pdb 678 678
    6m96.pdb 986 986
    6mct.pdb 130 130
    6mgv.pdb 1267 1267
    6mjp.pdb 1345 1345
    6mlu.pdb 305 305
    6msm.pdb 1181 1181
    6mwd.pdb 944 944
    6n25.pdb 1686 1686
    6n40.pdb 726 726
    6n52.pdb 1547 1547
    6nc9.pdb 475 475
    6nq2.pdb 1241 1241
    6nr3.pdb 3232 3232
    6nsj.pdb 1087 1087
    6nt6.pdb 555 555
    6nzw.pdb 1873 1873
    6o7u.pdb 2818 2818
    6o84.pdb 711 711
    6oeu.pdb 964 964
    6oh2.pdb 299 299
    6qp6.pdb 1481 1481
    6r3q.pdb 1181 1181
bad_proteins:
	1b12.pdb
	1fjr.pdb
	1lv7.pdb
	2bhv.pdb
	2w5q.pdb
	3blc.pdb
	3llo.pdb
	3oiz.pdb
	3pjv.pdb
	3viv.pdb
	4dgf.pdb
	4dgh.pdb
	4e2l.pdb
	4fye.pdb
	4jza.pdb
	5i5h.pdb
	6ek7.pdb
exceptions:
	1ldf.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	1rzh.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5guf.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5lwe.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5nkq.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5uiw.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5uph.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	5wqc.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6a94.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6ake.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6b3r.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6bd4.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6bmn.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6bw6.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6dnf.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6he6.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6iiu.pdb <class 'sqlalchemy.orm.exc.NoResultFound'>
	6nby.pdb 6nby.pdb is empty
